activation,mape_mean,mape_std,rmse_mean,rmse_std,time_mean,epochs_mean
relu,1.6886424102504383,0.19775323575029247,1.3311041162848327,0.22246177239717177,0.35382328033447263,223.8
ELU,1.8309677397293114,0.3497601441921591,1.3846260721450971,0.24367185928316742,0.3228705406188965,222.4
tanh,1.3690331904416613,0.47881271784222484,1.3458644151404067,0.40202100329018164,0.4822350025177002,336.8
sine,1.2472184879473658,0.11708412646163069,0.928756525132593,0.149131408668848,0.24057044982910156,168.0
sigmoid,3.465920870341454,0.32483388282487924,2.6984814450161294,0.39358647477865455,0.29219465255737304,205.2
soft_plus,1.3989851392818784,0.2857798068104554,1.016848557054294,0.19254583287309593,0.5462273597717285,376.4
