width,n_params,mape_mean,mape_std,rmse_mean,rmse_std,time_mean,epochs_mean
8,265,1.9510324008129423,0.9680416900480534,1.4804844105516135,0.6251188719551497,0.4693389892578125,222.0
16,913,0.997922466075537,0.2747745108252073,0.8223873041253842,0.3232218135499228,0.4500280857086182,239.0
32,3361,0.766359073779379,0.1849804752866533,0.633306596847753,0.1555790985832024,0.42685818672180176,217.4
64,12865,0.695948992903608,0.14125268439236505,0.6012121407455705,0.22183486684805884,0.44243526458740234,170.4
128,50305,0.6266918592306211,0.08530234053114566,0.505511143211131,0.11767161627100586,0.5673904895782471,147.8
