mass_kg,stress_mpa
15.309632530635177,51.59584045410156
21.698906010794374,37.45314407348633
19.653008465987057,46.2872314453125
18.111846207176963,49.18101119995117
11.910779958328286,56.624786376953125
15.05846820344627,55.99179458618164
15.784294861718925,50.67319869995117
20.089137327916063,43.20781707763672
14.46232718272447,56.09205627441406
10.884771028575766,72.25468444824219
21.145108797201832,42.94039535522461
47.205712746080515,29.819580078125
11.410619698359477,64.35816955566406
25.316868148150242,30.460132598876953
22.528837618381555,38.335628509521484
13.332691624006413,58.11143112182617
18.319680387646734,51.875030517578125
16.138239846269464,54.66756057739258
20.30500592925054,51.02598571777344
21.370223895736004,50.18246841430664
13.165035379453167,73.56427001953125
43.65248466112366,31.209138870239258
29.5605941077321,32.153202056884766
32.193165326220324,31.52534294128418
26.081712117307443,39.125858306884766
25.071721735382976,42.451629638671875
13.3630141864429,58.76362991333008
22.69042994931538,57.00161361694336
31.624866668671537,38.12293243408203
32.21957980381403,35.617393493652344
77.69766516561897,31.67641830444336
33.80246973248643,32.76167297363281
59.6575564177893,32.72997283935547
27.725319281032217,40.73191452026367
26.162269685784423,50.237735748291016
26.130300828363538,56.34229278564453
14.117868429175415,71.94671630859375
23.585484738600858,60.7420539855957
33.662479685270476,37.44475173950195
40.44608661049034,34.296714782714844
40.770223664240184,33.27927780151367
32.78347739204952,46.5554084777832
27.663686188469534,54.85679626464844
22.493463228433125,76.0477294921875
16.24115315304684,80.13865661621094
26.153337136277784,61.577491760253906
38.95701879123766,38.11714172363281
33.78220549546652,38.497379302978516
50.17153261416672,34.18521499633789
49.115662295145796,34.790771484375
29.996497577441154,56.62574768066406
31.425783487687923,56.2725715637207
23.149173312464466,84.85624694824219
34.80411592039085,51.233585357666016
40.30413351595637,40.535579681396484
37.022598927887366,46.41012191772461
46.12736791264817,38.58747100830078
82.8202531502719,34.87323760986328
49.54929814515213,35.66380310058594
36.486471230926725,55.40715026855469
36.423139825399566,62.21171951293945
36.16165283173999,64.9314956665039
45.15656774269984,45.85492706298828
39.91584786160837,49.95026397705078
39.94266992686361,46.79335403442383
46.19122263041894,39.403717041015625
89.24083285887211,36.32696533203125
63.089727798598595,37.131961822509766
67.03887983857169,36.954132080078125
39.192663657399386,55.43922424316406
38.04070435186347,56.825050354003906
42.36139516701006,52.76040267944336
43.84524963330168,50.94784927368164
57.19408442885138,41.03586959838867
48.27884035290606,41.735477447509766
66.41176584308218,37.64600372314453
77.42428768376121,37.25564193725586
38.93139574339265,57.377906799316406
46.97340520362747,53.289859771728516
60.20829090071328,42.392337799072266
51.99188816273099,44.48539733886719
51.93447326170774,48.75625228881836
66.68299065613235,37.999332427978516
69.40002008531,37.78064727783203
39.427773942894035,59.42759704589844
42.26877951373354,57.55561828613281
50.054285243123665,55.434391021728516
50.649893448206946,53.53629684448242
