mass_kg,stress_mpa
15.309632530635177,51.66838569185761
21.698906010794374,37.16204076163878
19.653008465987057,46.260404132557895
18.111846207176963,49.44851298621618
11.910779958328286,56.82344459456563
15.05846820344627,55.82788998921906
15.784294861718925,50.83835873118918
20.089137327916063,43.117929835560304
14.46232718272447,56.234644512927815
10.884771028575766,72.51409097272865
21.145108797201832,42.9403279464195
47.205712746080515,29.59370789290574
11.410619698359477,65.11647270575146
25.316868148150242,30.471265543972624
22.528837618381555,37.9899025185444
13.332691624006413,58.60738913168989
18.319680387646734,51.73261356086043
16.138239846269464,54.721878959735804
20.30500592925054,50.90992861659557
21.370223895736004,50.078738261916335
13.165035379453167,74.2176702698064
43.65248466112366,30.953955199732228
29.5605941077321,32.038787944102594
32.193165326220324,31.618923122886997
26.081712117307443,39.04637084387006
25.071721735382976,42.40289194859732
13.3630141864429,58.706460082650835
22.69042994931538,56.9884482372165
31.624866668671537,38.0404860544797
32.21957980381403,35.16721004788013
77.69766516561897,31.713193307339
33.80246973248643,32.6670049973045
59.6575564177893,32.635966936623895
27.725319281032217,40.63833565715601
26.162269685784423,50.138855018994505
26.130300828363538,56.438996786269286
14.117868429175415,72.24020917661062
23.585484738600858,60.50176642975014
33.662479685270476,37.2823546590503
40.44608661049034,34.180434520159686
40.770223664240184,33.153636645837096
32.78347739204952,46.56865129663275
27.663686188469534,54.848933187599094
22.493463228433125,76.252557799248
16.24115315304684,80.04058581219203
26.153337136277784,61.94308071473645
38.95701879123766,37.97251614962133
33.78220549546652,38.53134456903787
50.17153261416672,33.94368442272585
49.115662295145796,34.64721062055945
29.996497577441154,56.75417383702878
31.425783487687923,56.44511774867215
23.149173312464466,84.96552082986605
34.80411592039085,51.16635128307403
40.30413351595637,40.616569749336
37.022598927887366,46.18593361623206
46.12736791264817,38.60618578182128
82.8202531502719,35.017184281552794
49.54929814515213,35.49687505090249
36.486471230926725,55.57616120679633
36.423139825399566,62.364314583995565
36.16165283173999,65.18632028011619
45.15656774269984,45.9324145924831
39.192663657399386,55.43308768287681
39.91584786160837,49.780820988310616
39.94266992686361,46.88202311217207
46.19122263041894,39.21694695585665
89.24083285887211,36.38164729157471
63.089727798598595,37.0562483369056
67.03887983857169,36.74040177809211
38.04070435186347,57.089288631207296
42.36139516701006,53.06277125472129
43.84524963330168,51.03606279865034
57.19408442885138,40.921190248076876
48.27884035290606,41.89745947518833
66.41176584308218,37.64882235173791
77.42428768376121,37.23397776253346
42.26877951373354,57.64832648594499
38.93139574339265,57.72810432195396
46.97340520362747,53.48059952538996
60.20829090071328,42.222677144936455
51.99188816273099,44.61259934118758
51.93447326170774,48.726056462365456
50.649893448206946,53.44336840849735
66.68299065613235,38.08671378733726
69.40002008531,37.7847034633429
39.427773942894035,59.4465477501596
48.57996203682044,59.08814202078187
50.054285243123665,55.501751010471594
61.580183738094405,43.95150302989663
73.37377266304773,38.40384456526435
74.80326970811662,38.120567206694076
43.20089229019147,67.89624366366573
52.14677199158701,63.29330144942996
61.6114565737321,45.40351210126539
75.54136462396592,38.614375612584965
51.91740465385092,68.04339860691884
53.831077305583094,64.00067275596534
61.62487209353689,51.63930797201068
76.38497135574269,39.55102064710405
15.309632530635177,51.66838569185761
21.698906010794374,37.16204076163878
18.111846207176963,49.44851298621618
11.910779958328286,56.82344459456563
15.784294861718925,50.83835873118918
20.089137327916063,43.117929835560304
10.884771028575766,72.51409097272865
21.145108797201832,42.9403279464195
11.410619698359477,65.11647270575146
25.316868148150242,30.471265543972624
19.078932257537048,46.17328537373029
11.833404690272356,58.08716852822685
56.28046649772783,29.169372182819536
13.892825574653763,51.9540479184618
96.6333183806214,28.873763632073075
10.879099453933494,73.60129145300638
11.21023528434283,67.96997284440495
19.772130381604864,45.1493324836607
25.405389402843404,30.373016980403182
40.38177504522698,29.253361916787526
22.528837618381555,37.9899025185444
22.63075700540696,37.28035870303781
17.847058187504203,50.9485216199243
22.44424264385659,43.24235325919132
19.653008465987057,46.260404132557895
19.603272537764607,46.383784157512935
13.332691624006413,58.60738913168989
13.405110161322197,58.51950516861548
11.842286872646724,66.18980006108393
60.808503784597,29.242129705049752
15.05846820344627,55.82788998921906
14.46232718272447,56.234644512927815
15.45071170976894,54.66608244773016
16.64267277902591,54.25809227689017
29.5605941077321,32.038787944102594
32.193165326220324,31.618923122886997
29.56645861859787,32.037756814645576
32.18693911322614,31.619838387179133
43.938067570085245,29.344803305615198
40.862620779854964,30.201219083755557
24.67777054626275,37.67779860539979
18.319680387646734,51.73261356086043
20.30500592925054,50.90992861659557
21.370223895736004,50.078738261916335
13.333381587077989,58.62483679222142
12.573952866087843,70.0541469411987
16.138239846269464,54.721878959735804
16.041250185398894,58.61602035861688
31.37941123841481,34.320628352245386
31.305232768674955,35.07142747517844
33.80246973248643,32.6670049973045
47.205712746080515,29.59370789290574
45.660311673260075,30.17942844108278
77.75821559416772,29.43550407876457
41.86043301594259,30.449300057480244
25.323342697701555,38.08819886085636
27.09457148872956,37.915304414444904
24.86763620872141,41.09460481603013
13.362392743704403,58.685506039193754
13.165035379453167,74.2176702698064
13.165851274387018,74.21627848242477
17.991597905870794,55.68233148033101
32.21957980381403,35.16721004788013
40.44608661049034,34.180434520159686
40.770223664240184,33.153636645837096
43.65248466112366,30.953955199732228
77.22281918830474,30.919445330101002
26.081712117307443,39.04637084387006
29.02498766452108,37.96174709892402
25.071721735382976,42.40289194859732
13.3630141864429,58.706460082650835
22.69042994931538,56.9884482372165
18.269174653257817,58.21513811173621
32.22918944242054,36.76256263605554
40.80576669135102,34.97639097318005
43.05773968581825,33.974670705653615
42.02967387558149,34.52059126607357
45.58919766868993,31.01388923278857
27.725319281032217,40.63833565715601
27.60960517844931,41.41034453798338
31.624866668671537,38.0404860544797
26.162269685784423,50.138855018994505
26.130300828363538,56.438996786269286
14.117695153408357,72.0594210644933
14.56972990891421,63.47451778098015
16.745496526357208,62.496914349981346
18.034927468934832,59.31818859485461
33.662479685270476,37.2823546590503
47.91571470270704,31.669321842098768
77.69766516561897,31.713193307339
14.117868429175415,72.24020917661062
49.62051005477692,32.152618806189686
28.089005249780744,40.938648595572175
27.663686188469534,54.848933187599094
19.13533911938547,66.81777495609485
38.95701879123766,37.97251614962133
49.115662295145796,34.64721062055945
22.416014963639867,60.78165489131753
26.65571423493791,58.01854753458196
33.08655370701378,39.69302404260074
15.309632530635177,51.66838569185761
11.910779958328286,56.82344459456563
15.784294861718925,50.83835873118918
10.884771028575766,72.51409097272865
11.410619698359477,65.11647270575146
25.316868148150242,30.471265543972624
11.833404690272356,58.08716852822685
13.892825574653763,51.9540479184618
10.879099453933494,73.60129145300638
11.21023528434283,67.96997284440495
25.405389402843404,30.373016980403182
40.38177504522698,29.253361916787526
16.591062151210636,43.14958656371036
44.57458109190515,28.080400826581002
17.19402887501852,36.24012784673134
13.566989286714014,55.73317445865092
40.929837202736074,28.422190520502117
11.881271360743344,57.86009565263316
18.673260865501824,32.899025051218786
13.605865877557507,54.91253020571314
24.806070589804587,31.306031063989828
11.842286872646724,66.18980006108393
15.45071170976894,54.66608244773016
16.21987513665344,52.158890917128446
11.339240885045434,88.54593598336777
40.862620779854964,30.201219083755557
16.687556103707706,50.72386932858928
17.939139632498524,37.84541666196009
17.763674596794065,43.23669031205063
56.28046649772783,29.169372182819536
96.6333183806214,28.873763632073075
43.938067570085245,29.344803305615198
43.67482308213609,30.063822098316948
43.94654741356496,29.342277933380995
94.26358721958157,28.894387313052526
49.32435636093174,29.248473108057073
13.332691624006413,58.60738913168989
13.366113153190065,58.04853921148448
12.173392605553314,59.6273652490102
19.517919632563224,34.486491514114896
14.40474013466469,55.700820848751
25.392702432651188,31.380964431815887
11.8893144192129,83.57694255210193
11.997902395690929,69.06195525566926
16.138239846269464,54.721878959735804
16.64267277902591,54.25809227689017
41.86043301594259,30.449300057480244
18.474486414151922,42.022646722296365
18.897880932210324,39.351620142692504
18.71153533403836,41.66736616742215
18.111846207176963,49.44851298621618
17.847058187504203,50.9485216199243
60.808503784597,29.242129705049752
47.205712746080515,29.59370789290574
45.660311673260075,30.17942844108278
13.333381587077989,58.62483679222142
13.405110161322197,58.51950516861548
12.639510447840154,68.85386265472101
20.070861276096537,34.500131002759595
15.05846820344627,55.82788998921906
14.46232718272447,56.234644512927815
32.193165326220324,31.618923122886997
32.18693911322614,31.619838387179133
27.14534955584766,31.6881690272144
12.573952866087843,70.0541469411987
43.65248466112366,30.953955199732228
43.643926076706926,30.956888751082293
19.078932257537048,46.17328537373029
19.772130381604864,45.1493324836607
19.895160241569833,44.36189545367437
18.319680387646734,51.73261356086043
17.991597905870794,55.68233148033101
77.75821559416772,29.43550407876457
77.22281918830474,30.919445330101002
13.362392743704403,58.685506039193754
20.089137327916063,43.117929835560304
21.145108797201832,42.9403279464195
21.66991395163785,37.05798480707983
23.190711557284587,36.10595630247717
15.005508444266235,56.78798964705527
29.5605941077321,32.038787944102594
29.56645861859787,32.037756814645576
27.156149394858858,32.45481044023096
80.3615525598227,29.59720781215566
13.165035379453167,74.2176702698064
77.21698475891043,30.96684263184731
45.58919766868993,31.01388923278857
13.3630141864429,58.706460082650835
13.166094192279976,74.12620460092546
18.658604119304496,54.88989700736192
21.673714331907668,40.98423346416861
19.603272537764607,46.383784157512935
31.305232768674955,35.07142747517844
21.698906010794374,37.16204076163878
37.72782307843524,32.375694250549984
19.653008465987057,46.260404132557895
45.04216259649948,31.209548999175954
18.269174653257817,58.21513811173621
31.37941123841481,34.320628352245386
33.80246973248643,32.6670049973045
11.910779958328286,56.82344459456563
10.884771028575766,72.51409097272865
11.410619698359477,65.11647270575146
25.316868148150242,30.471265543972624
11.833404690272356,58.08716852822685
10.879099453933494,73.60129145300638
11.21023528434283,67.96997284440495
25.405389402843404,30.373016980403182
17.19402887501852,36.24012784673134
40.929837202736074,28.422190520502117
11.881271360743344,57.86009565263316
18.673260865501824,32.899025051218786
24.806070589804587,31.306031063989828
10.712337156076456,80.23590629827885
11.233441951179243,67.62311412609701
10.886252712321301,72.48560720944694
18.675545764256874,32.84540528489198
13.97940240037535,44.16482036107306
39.964854875228745,28.46488401219225
15.32307774367593,37.943801283266765
16.703555966888235,37.74678377731063
9.95505033235453,94.39100538134781
10.924425403282187,69.52436831215226
44.24282580914854,27.71773053401858
25.74595396867465,30.209947960757194
13.051180076452733,46.54619216312146
15.041993427633987,40.37069470768512
17.1939871593106,36.24137182690441
60.66963756287505,27.42383716476614
14.251088156531027,43.64640809636127
12.978330998366202,57.27651940143674
11.842286872646724,66.18980006108393
25.40572816939051,30.44888307224074
12.173392605553314,59.6273652490102
12.712204031190431,59.0551305435982
25.392702432651188,31.380964431815887
25.34730459567327,31.606104216910154
11.706460446710286,68.86450376523348
19.517919632563224,34.486491514114896
21.187208478287364,33.41481620042691
20.09129794423854,33.987897450995284
40.38177504522698,29.253361916787526
40.99674568760836,28.827442910402144
11.339240885045434,88.54593598336777
11.285516689980701,95.94619507735516
44.57458109190515,28.080400826581002
13.892825574653763,51.9540479184618
13.605865877557507,54.91253020571314
13.55387876606721,55.38131672699162
13.969627982584045,51.03602389074381
16.591062151210636,43.14958656371036
17.788287922641654,37.72299390796482
19.08361061175727,37.55721142779146
14.51853147499634,49.363984924784035
16.19463938233026,48.65111101804915
13.332691624006413,58.60738913168989
13.366113153190065,58.04853921148448
13.30903668855391,58.622972822795646
12.62631033637504,63.699780493543116
32.193165326220324,31.618923122886997
32.18693911322614,31.619838387179133
27.14534955584766,31.6881690272144
27.089719265672763,31.716628792262092
27.450852054432527,31.638393245378897
11.8893144192129,83.57694255210193
11.997902395690929,69.06195525566926
11.909709398566283,77.64196970534528
20.070861276096537,34.500131002759595
20.865178257133177,34.18176292059252
40.862620779854964,30.201219083755557
43.15463329288162,28.96843050348386
96.6333183806214,28.873763632073075
94.26358721958157,28.894387313052526
96.68878135632232,28.709226768119706
58.31495991622569,28.909814047447348
13.566989286714014,55.73317445865092
14.104899209093587,51.61031573561457
17.763674596794065,43.23669031205063
17.31948436209429,44.93096427750814
17.939139632498524,37.84541666196009
19.753353619001086,37.69769788832777
15.784294861718925,50.83835873118918
15.797900302478979,50.043452301354094
12.563859682658235,70.06969141199332
56.28046649772783,29.169372182819536
41.86043301594259,30.449300057480244
18.111846207176963,49.44851298621618
29.56645861859787,32.037756814645576
18.195046490582452,38.86391355722439
12.639510447840154,68.85386265472101
49.32435636093174,29.248473108057073
13.333381587077989,58.62483679222142
27.156149394858858,32.45481044023096
23.190711557284587,36.10595630247717
14.40474013466469,55.700820848751
43.94654741356496,29.342277933380995
15.147713258165005,52.83209486994658
16.687556103707706,50.72386932858928
19.725425271418136,38.01975653014358
13.405110161322197,58.51950516861548
10.884771028575766,72.51409097272865
11.410619698359477,65.11647270575146
25.316868148150242,30.471265543972624
11.833404690272356,58.08716852822685
10.879099453933494,73.60129145300638
25.405389402843404,30.373016980403182
17.19402887501852,36.24012784673134
40.929837202736074,28.422190520502117
10.712337156076456,80.23590629827885
10.886252712321301,72.48560720944694
39.964854875228745,28.46488401219225
15.32307774367593,37.943801283266765
16.703555966888235,37.74678377731063
9.95505033235453,94.39100538134781
10.924425403282187,69.52436831215226
44.24282580914854,27.71773053401858
25.74595396867465,30.209947960757194
13.051180076452733,46.54619216312146
15.041993427633987,40.37069470768512
17.1939871593106,36.24137182690441
40.931708443617126,28.415833142816794
55.20165191532958,27.289601561546466
39.9969189412479,28.453617863139222
17.38972763033203,32.543702947589225
20.15319131840455,31.922710216991295
24.679645002500436,31.30148094500082
8.606090000207422,107.81315482403112
