n_samples,train_rmse,test_rmse,train_mae,test_mae,train_mape,test_mape,train_time,epochs
20,2.6840090490084285,6.735090369356091,2.187100715497185,3.6696533226247943,4.273350567955299,6.4390672160117415,0.1079859733581543,41
50,0.2644069708258131,1.3895349371684809,0.218064287835985,0.6259009151658282,0.4764012029346127,1.1139959651798064,0.36916399002075195,100
100,0.5280143745285858,0.6710143769249716,0.3714899076789412,0.46568015579458416,0.7344943632063614,0.9033100045640499,0.5215151309967041,81
204,0.20362575247090425,0.3065056031026196,0.15246690359479453,0.20291974254901582,0.30761779894590263,0.4176813289210061,1.2955598831176758,181
