scheme,mape_mean,mape_std,rmse_mean,rmse_std,time_mean,epochs_mean
none,0.6266918592306211,0.08530234053114566,0.505511143211131,0.11767161627100586,0.5940828800201416,147.8
L2_1e-4,0.6266918592306211,0.08530234053114566,0.505511143211131,0.11767161627100586,0.5895468235015869,147.8
L2_1e-3,0.6266918592306211,0.08530234053114566,0.505511143211131,0.11767161627100586,0.5931154251098633,147.8
L2_1e-2,0.6266918592306211,0.08530234053114566,0.505511143211131,0.11767161627100586,0.5596743583679199,147.8
Dropout_0.1,1.123827508300549,0.19524626875343956,0.8541729273337406,0.26732952419530553,0.34774026870727537,71.0
Dropout_0.2,1.4819212811504632,0.3150650783997688,1.2185975083629943,0.19571182944026125,0.31011500358581545,67.6
L2_1e-3+Drop_0.1,1.123827508300549,0.19524626875343956,0.8541729273337406,0.26732952419530553,0.3011450290679932,71.0
