depth,n_params,mape_mean,mape_std,rmse_mean,rmse_std,time_mean,epochs_mean
1,193,1.6610564574492348,0.13665973719772148,1.1850055732952778,0.12664006963830446,0.3531541347503662,286.6
2,1249,1.2472184879473658,0.11708412646163069,0.928756525132593,0.149131408668848,0.24184808731079102,168.0
3,2305,0.8655902159861546,0.13147028528242496,0.7008495769504346,0.12078116145941004,0.3685009002685547,216.6
4,3361,0.766359073779379,0.1849804752866533,0.633306596847753,0.1555790985832024,0.42537264823913573,217.4
