optimiser,best_lr,mape_mean,mape_std,rmse_mean,rmse_std,time_mean,epochs_mean
adam,0.001,0.6266918592306211,0.08530234053114566,0.505511143211131,0.11767161627100586,0.5818667888641358,147.8
sgd,0.01,1.0107215272824945,0.1348062551712901,0.7835396284557102,0.14344059362521144,0.6356917381286621,211.0
rmsprop,0.0001,1.1527137355810813,0.09242542995994012,0.855034783994714,0.19686830971500766,0.768254280090332,200.6
