W1,W2,R,t,mass_kg,stress_mpa
0.6998888530007604,0.10000460597300682,0.06999098107723688,0.019999946654218097,103.87299183196018,24.927677154541016
0.30002410577810223,0.1278511744225663,0.06992143002451744,0.010014342439634514,8.08108860048741,76.73373413085938
0.30000534227203385,0.10168556188632727,0.06992038125363617,0.010876737669015943,9.481187290088837,57.71452713012695
0.3000147964223135,0.10149917489628447,0.06996883692032428,0.0102700240534694,8.957309700571303,60.88701248168945
0.5875439479347594,0.10009230749744216,0.06994069636831665,0.019995429498727728,72.61106752939664,25.600919723510742
0.3268730647995929,0.10105030805522194,0.06999098107723688,0.019999946654218097,21.100144296878966,30.167743682861328
0.30005954084687375,0.10004204479356964,0.06934881262194229,0.010000071623948628,8.754477134252765,61.94176483154297
0.3000604638560809,0.12141353156662228,0.06987179049948301,0.010000071623948628,8.245074638150898,72.82333374023438
0.3000606808445229,0.11217394760095206,0.06996996439929247,0.01001744003778424,8.493225391712185,67.50538635253906
0.3000604638560809,0.10612915464934224,0.06999292008074444,0.010000113885820278,8.621114027776967,64.57460021972656
0.4738010954181565,0.10000525683342007,0.069898676874086,0.01999977833254362,46.55502967584735,26.5894718170166
0.6776356755492025,0.10003523719585533,0.06999235524024347,0.01998440537129515,97.17479658606818,25.069665908813477
0.30000530044740686,0.10042930198476802,0.06997247389123118,0.014382397778520168,12.57672892583027,43.409523010253906
0.3013301112294361,0.10282173837808968,0.06999142638597786,0.0150470604053571,13.208478583642266,42.21135330200195
0.6378421618965733,0.10000460597300682,0.06998533203460647,0.019999946654218097,85.94461785729385,25.265344619750977
0.571001515134021,0.10000473185819442,0.06997594598058814,0.019999446381020535,68.49010790755086,25.69523048400879
0.5245487974262416,0.10000463491518925,0.06997521530777673,0.0199905337106271,57.4722694299063,26.0767822265625
0.6525954354388854,0.10003397196490532,0.06997533668690832,0.0199991370880822,90.05187451924391,25.186813354492188
0.41540130245420664,0.10000997462132291,0.06999235789387337,0.019999960065090715,35.3391637934977,27.445817947387695
0.30009555083670436,0.11662602848879373,0.0699792161803881,0.010141776449781474,8.489393493001653,69.12385559082031
0.30011041474282635,0.10017667422613658,0.06933449771306646,0.017461464179503398,15.2870837447837,35.867469787597656
0.30011019448678145,0.1000145994070798,0.06996486003824842,0.015426155705017213,13.513744087870036,40.379146575927734
0.3000604638560809,0.12255909935371131,0.06935062957795218,0.010000071623948628,8.21320813365632,73.68334197998047
0.3001638954712505,0.1003828702513367,0.06993274744083355,0.01322022696183103,11.575216505690333,47.159114837646484
0.3643419453882003,0.10006422918555029,0.06993559872837588,0.019999542771674237,26.736261490110227,28.64181137084961
0.3001079512585537,0.10003058002047807,0.06997146187984706,0.019939452204648007,17.466582441325116,31.28398895263672
0.6054763502066474,0.10009067082952032,0.06988199880667362,0.01999977629300117,77.24753455001694,25.482027053833008
0.30227801866445925,0.10288714250674634,0.06992462123180275,0.019106095759573033,16.886419053347595,33.36212158203125
0.3036856994378201,0.10102977587055273,0.06989682932896403,0.015053756112198429,13.504988836337665,41.46291732788086
0.30011097720125846,0.10019411438470252,0.06991927636171091,0.016565447176518863,14.50520454060957,37.70772933959961
0.3001638954712505,0.10001672243296603,0.06993511700172214,0.012751080367009823,11.174560955401322,48.74351501464844
0.3000448837159394,0.12513487795490918,0.06992446987026804,0.010017440857067437,8.159293088793897,74.97415924072266
0.3000004717770553,0.11754729129215827,0.06844057315083195,0.010002226805568663,8.338175070084754,71.0033187866211
0.30974622007907276,0.10000243250902062,0.06992002234611226,0.019978348305612126,18.76979656245966,30.7254638671875
0.38077942461586267,0.10002600523796246,0.06995579320609721,0.019999833853477072,29.383961680820207,28.19241714477539
0.45616130392425097,0.10000353935420488,0.06989125943073089,0.019998314954460483,43.008609874876434,26.815223693847656
0.43233514797463,0.10004049608701081,0.06936481001707227,0.019952471059716953,38.343298438664505,27.28887367248535
0.34943901730560956,0.10001626967065302,0.06991889285053567,0.01999723822512832,24.43777797620782,29.097192764282227
0.3340124331955536,0.10000660872353642,0.0699974055712623,0.01999812995439772,22.162649783424918,29.636131286621094
0.3000204521787367,0.10003902622044472,0.06992128539864,0.01344502807349868,11.769500929964808,46.269996643066406
0.30027271256631866,0.10013650592099331,0.06993453457727884,0.018116878826422295,15.885031965287704,34.49043655395508
0.30011097720125846,0.10019411438470252,0.06988648113565792,0.01686444335909014,14.766835393492268,37.05430603027344
0.3001352610274946,0.1001124825261459,0.06991870504726341,0.01252988488031577,10.975727530957112,49.636959075927734
0.5038729241366257,0.10000573106913893,0.06994196942168157,0.019993500638283132,52.8891092125182,26.26876449584961
0.30066164064772266,0.10000034806733415,0.06992128539864,0.015787557123681496,13.887092200564652,39.436737060546875
0.34943901730560956,0.10001626967065302,0.06991889285053567,0.01999792689393605,24.43861956919346,29.096128463745117
