W1,W2,R,t,MaxVonMisesStress_MPa
0.3781250000,0.1488281250,0.0634375000,0.0182031250,44.2476200000
0.5781250000,0.1238281250,0.0434375000,0.0132031250,50.3797360000
0.4781250000,0.1113281250,0.0534375000,0.0107031250,57.0283440000
0.6781250000,0.1363281250,0.0334375000,0.0157031250,47.8363520000
0.3156250000,0.1066406250,0.0671875000,0.0135156250,47.4021120000
0.5156250000,0.1316406250,0.0471875000,0.0185156250,37.3822560000
0.4156250000,0.1441406250,0.0571875000,0.0160156250,47.4373320000
0.6156250000,0.1191406250,0.0371875000,0.0110156250,61.6902760000
0.3656250000,0.1253906250,0.0321875000,0.0172656250,50.7409320000
0.5656250000,0.1003906250,0.0521875000,0.0122656250,46.0814440000
0.4656250000,0.1128906250,0.0421875000,0.0147656250,45.3300720000
0.6656250000,0.1378906250,0.0621875000,0.0197656250,31.0293400000
0.3406250000,0.1410156250,0.0446875000,0.0103906250,89.7440320000
0.5406250000,0.1160156250,0.0646875000,0.0153906250,37.2740560000
0.4406250000,0.1035156250,0.0346875000,0.0178906250,38.3118360000
0.6406250000,0.1285156250,0.0546875000,0.0128906250,48.0689960000
0.3906250000,0.1222656250,0.0596875000,0.0191406250,35.0608600000
0.5906250000,0.1472656250,0.0396875000,0.0141406250,54.2964320000
0.4906250000,0.1347656250,0.0696875000,0.0116406250,53.8662520000
0.6906250000,0.1097656250,0.0496875000,0.0166406250,35.1637160000
0.3093750000,0.1199218750,0.0478125000,0.0180468750,44.8946280000
0.5093750000,0.1449218750,0.0678125000,0.0130468750,50.4945000000
0.4093750000,0.1324218750,0.0378125000,0.0105468750,77.7831520000
0.6093750000,0.1074218750,0.0578125000,0.0155468750,36.0343320000
0.3593750000,0.1386718750,0.0528125000,0.0117968750,69.8176080000
0.5593750000,0.1136718750,0.0328125000,0.0167968750,42.0809440000
0.4593750000,0.1011718750,0.0628125000,0.0192968750,28.8009400000
0.6593750000,0.1261718750,0.0428125000,0.0142968750,46.4048520000
0.3343750000,0.1292968750,0.0603125000,0.0161718750,47.5540280000
0.5343750000,0.1042968750,0.0403125000,0.0111718750,56.3924120000
0.4343750000,0.1167968750,0.0503125000,0.0136718750,48.2885480000
0.6343750000,0.1417968750,0.0303125000,0.0186718750,43.3424200000
0.3843750000,0.1105468750,0.0353125000,0.0149218750,49.8136000000
0.5843750000,0.1355468750,0.0553125000,0.0199218750,32.5488760000
0.4843750000,0.1480468750,0.0453125000,0.0174218750,45.0126880000
0.6843750000,0.1230468750,0.0653125000,0.0124218750,45.5546480000
0.3218750000,0.1464843750,0.0340625000,0.0196093750,58.4623000000
0.5218750000,0.1214843750,0.0540625000,0.0146093750,42.9464160000
0.4218750000,0.1089843750,0.0440625000,0.0121093750,54.8285280000
0.6218750000,0.1339843750,0.0640625000,0.0171093750,35.3660760000
0.3718750000,0.1152343750,0.0690625000,0.0108593750,57.4649840000
0.5718750000,0.1402343750,0.0490625000,0.0158593750,43.6814200000
0.4718750000,0.1277343750,0.0590625000,0.0183593750,35.2558320000
0.6718750000,0.1027343750,0.0390625000,0.0133593750,46.1910320000
0.3468750000,0.1058593750,0.0565625000,0.0164843750,38.9624440000
0.5468750000,0.1308593750,0.0365625000,0.0114843750,64.8606600000
0.4468750000,0.1433593750,0.0665625000,0.0139843750,49.5907320000
0.6468750000,0.1183593750,0.0465625000,0.0189843750,32.8649860000
0.3968750000,0.1371093750,0.0415625000,0.0127343750,65.3382880000
0.5968750000,0.1121093750,0.0615625000,0.0177343750,31.6859360000
0.4968750000,0.1246093750,0.0315625000,0.0152343750,51.0335200000
0.6968750000,0.1496093750,0.0515625000,0.0102343750,66.2887360000
0.3015625000,0.1498046875,0.0423437500,0.0157421875,75.6966640000
0.5015625000,0.1248046875,0.0623437500,0.0107421875,57.3274240000
0.4015625000,0.1123046875,0.0323437500,0.0132421875,57.7359240000
0.6015625000,0.1373046875,0.0523437500,0.0182421875,36.2785400000
0.3515625000,0.1185546875,0.0573437500,0.0144921875,48.1687360000
0.5515625000,0.1435546875,0.0373437500,0.0194921875,40.3111040000
0.4515625000,0.1310546875,0.0673437500,0.0169921875,37.7364200000
0.6515625000,0.1060546875,0.0473437500,0.0119921875,48.9272840000
0.3265625000,0.1029296875,0.0698437500,0.0176171875,34.4367920000
0.5265625000,0.1279296875,0.0498437500,0.0126171875,52.7164040000
0.4265625000,0.1404296875,0.0598437500,0.0101171875,71.3794400000
0.6265625000,0.1154296875,0.0398437500,0.0151171875,43.1302160000
0.3765625000,0.1341796875,0.0348437500,0.0113671875,78.6358560000
0.5765625000,0.1091796875,0.0548437500,0.0163671875,35.3169880000
0.4765625000,0.1216796875,0.0448437500,0.0188671875,36.1208400000
0.6765625000,0.1466796875,0.0648437500,0.0138671875,45.0193360000
0.3140625000,0.1232421875,0.0360937500,0.0166796875,54.6480600000
0.5140625000,0.1482421875,0.0560937500,0.0116796875,60.6564400000
0.4140625000,0.1357421875,0.0460937500,0.0141796875,54.9520400000
0.6140625000,0.1107421875,0.0660937500,0.0191796875,28.3909060000
0.3640625000,0.1419921875,0.0610937500,0.0129296875,61.7090480000
0.5640625000,0.1169921875,0.0410937500,0.0179296875,36.8703840000
0.4640625000,0.1044921875,0.0510937500,0.0154296875,38.9409840000
0.6640625000,0.1294921875,0.0310937500,0.0104296875,72.3159120000
0.3390625000,0.1263671875,0.0535937500,0.0198046875,39.0991440000
0.5390625000,0.1013671875,0.0335937500,0.0148046875,44.5939160000
0.4390625000,0.1138671875,0.0635937500,0.0123046875,48.7627440000
0.6390625000,0.1388671875,0.0435937500,0.0173046875,40.4837080000
0.3890625000,0.1076171875,0.0485937500,0.0110546875,59.0135360000
0.5890625000,0.1326171875,0.0685937500,0.0160546875,37.0917040000
0.4890625000,0.1451171875,0.0385937500,0.0185546875,43.9137880000
0.6890625000,0.1201171875,0.0585937500,0.0135546875,42.7446840000
0.3078125000,0.1099609375,0.0592187500,0.0124609375,55.6718960000
0.5078125000,0.1349609375,0.0392187500,0.0174609375,43.3471680000
0.4078125000,0.1474609375,0.0692187500,0.0199609375,36.8679160000
0.6078125000,0.1224609375,0.0492187500,0.0149609375,42.1019600000
