0.58295049,0.10701086,0.069373702,0.011457285,46.518344
0.36915941,0.14993305,0.03584497,0.015876333,64.19156
0.60402397,0.1160606,0.039592158,0.018931342,34.929668
0.34620663,0.12198182,0.046125429,0.014212795,54.444952
0.35878039,0.14631616,0.030862134,0.016575045,64.447268
0.55116007,0.13121626,0.058183237,0.011053883,57.336588
0.44090204,0.14446586,0.048365872,0.019870705,39.391804
0.5708625,0.12711464,0.068897451,0.01463337,39.938956
0.63579892,0.122101,0.047036528,0.016320344,38.83102
0.5286311,0.10137406,0.05581639,0.010250036,54.835196
0.6265272,0.13986213,0.034620578,0.017832956,42.890672
0.4061938,0.1297822,0.045784756,0.016935508,44.730396
0.6170371,0.13081786,0.035061575,0.010889548,67.398424
0.69326752,0.13595818,0.062418006,0.014404174,41.8889
0.67812616,0.10289306,0.066301027,0.012690138,41.064536
0.30343179,0.12438356,0.044210844,0.014933915,58.812156
0.45058516,0.14506034,0.059458301,0.013076106,55.414548
0.46034093,0.14064554,0.040536285,0.013327873,59.881776
0.59387742,0.10858937,0.053386463,0.011648698,49.694356
0.53260335,0.11001565,0.065252417,0.01211722,45.994776
0.67420984,0.10405442,0.055513689,0.010101531,54.570856
0.45701149,0.10032336,0.043454218,0.019261051,32.235734
0.3953,0.1280117,0.041920724,0.015605453,49.963364
0.31087907,0.13823317,0.051208189,0.019534449,47.975568
0.65055506,0.1436633,0.049045404,0.011232439,60.778672
0.38763959,0.13233762,0.044483287,0.019052186,41.82124
0.47021461,0.10675583,0.054720728,0.017609165,33.713492
0.5212205,0.13770449,0.061164668,0.015193615,42.952948
0.39871507,0.10931982,0.049554164,0.013728626,47.438428
0.56092905,0.11147215,0.050182004,0.012267469,49.310604
0.50298123,0.10558841,0.033750448,0.0171437,39.71556
0.3798268,0.11239736,0.030656814,0.011953923,66.497844
0.65271544,0.11424948,0.040128835,0.010657774,60.395204
0.32559553,0.11741647,0.042631883,0.017275085,46.078564
0.43003322,0.12644821,0.056791878,0.016081878,41.881976
0.4134951,0.12541643,0.067674909,0.016667912,38.513032
0.51293355,0.11948818,0.067096861,0.015590489,37.369748
0.31906177,0.12091741,0.052318773,0.013530243,57.352008
0.47939604,0.14728043,0.038487316,0.012909732,64.4218
0.33575959,0.14100384,0.064356307,0.018351819,45.286048
0.35379944,0.13364547,0.063198974,0.012456991,60.416084
0.66601097,0.11502874,0.060054623,0.018028764,31.330892
0.42438689,0.11865355,0.061201952,0.017543698,35.928908
0.5461783,0.10311346,0.032550718,0.01845379,36.506828
0.6855644,0.14854531,0.057611479,0.014172447,45.86116
0.48411117,0.14258657,0.052484442,0.015232655,47.349612
0.60376006,0.13478227,0.037889963,0.01977228,37.032608
0.63971469,0.12387435,0.032087996,0.013882358,52.740296
0.49930338,0.11369109,0.064458115,0.010526769,54.848968
0.57358327,0.1362739,0.036466005,0.018638648,40.491096
